author,content
"
饮鸩能止渴
","


庄子是个很有意思的人。"
"
大爱浇水
","


小偷真特.么的有技术含量，偷了我的手机还解开了我手机锁。"
"
一个&旧人…
","


在玉器店见三个人，男的，70岁左右看气场就知道是位大款。少妇，40岁左右风韵犹存，带着个小姑娘，17岁左右穿的玲珑剔透。我敢断言三人关系，是少妇依仗有姿色，傍上大款，正矫情着给女儿买玉件呢！如果看错了我把眼珠子抠下来…当我听到那位70岁的大爷叫这位少妇“妈”的时候，我这双狗眼早就该抠下来了。

"
"
潘驴。邓闲
","


刚开车回家，路遇交警查酒驾，前面车里突然下来一哥们掉头就跑。"
"
苏亦冉丶
","


今天有个朋友说，他最疼他的外甥女了，去他家里特别乖，从小到大只哭过三次而已，有二次还是因为踩了她的脚才哭的，哈哈哈哈我差点笑岔气哈哈哈

"
"
孤心傲月
","


媳妇刚拿了驾照。第一次开车上班，回来时，发现她额头上有块青紫。我大吃一惊，赶紧问她：咋回事？撞车了？"
"
看着糗糗吃大粪
","


公司的销售部门，工资都是发放到民生银行。自从几个月前，公司改革：工资继续打民生银行，每月的销售提成则另外打工商卡里。结果，一小小的变动销售业绩大涨。我勒个去，原来一帮大老爷们儿工资卡都上缴老婆了。工行卡捏在自己手里，为了填满自己的小金库，工作那叫一个卖力。领导呀，还是男人更懂男人！

"
"
潘驴。邓闲
","


刚才去吃蒸菜，点了条鱼和个荤菜，人比较多就和一个女的拼桌坐，刚才不知道怎么脑子一短路夹了她的颗青菜，她瞪我一下，没等我道歉就把我的整条鱼扒她碗里去了，，，，，，算你狠

"
"
心心意意
","


我竟然刚刚知道：人不为己，天诛地灭是一个汉语成语，拼音rén bù wéi jǐ, tiān zhū dì miè，“为”念作wéi，是“修养，修为”的意思。真正意思是，如果人不修身，那么就会为天地所不容。现今常被误解为人如果不为自己着想，那么就会为天地所不容。

"
"
我的唯一乔乔
","


终于要报名了……看看能不能报上吧……孩子上个幼儿园了真难啊…………祈祷顺利

"
"
猪头小小败
","


我有个同事每次相亲都带去那种36元自助餐，我们劝他搞点档次，他的理由是，相亲又不一定成，钱花多了容易冤枉。于是现在35了还在相亲。

"
"
镜端
","


老婆特别爱我，就是管的有点严格～"
"
凉城、予梦
","


公交车上我坐在司机后面的座位，最后几站了，车里只剩下我一个人。司机忽然唱起歌来，一首接一首的，虽然很难听，但唱得很欢乐。终点时我站起身准备下车，就听司机嗷的一嗓子说：卧槽，车里还有人啊！

"
"
饮最烈的酒、艹最爱…
","


媳妇怀孕后，吃东西之前都要 百 度 一下孕妇可以吃吗？现在九个月了，这个习惯一直保持着!"
"
穆紫阳
","


家有萌女，现上幼儿园小班，今天放学回家后，嘴巴里一直哼哼着一首歌，听半天没听懂。晚上老爸回家，和叔叔语音聊天，宝宝在旁边就唱歌，越唱越起劲，音量也逐渐升高，待老爸放自己的语音时，里面传出来的，全是宝宝唱歌的声音，老爸无语，打开音响，和宝宝一起K起了～太阳当空照，花儿对我笑。。。。。。。

"
"
屌爆了所以是女生
","


监狱长：你明天就要判死刑了我可以满足你一个愿望。"
"
鹰嫂
","


老公年纪大了，智商也下降了。"
"
义行天下7
","


午休时间，王嫂抱怨一个车间的王哥没事老是撩妹，已经抓到两次了！"
"
哈和嗨
","


下班回到家，媳妇儿正在坐在电脑前玩LOL，幽暗的灯光下一副岁月静好的样子。"
"
戏如此逼真
","


在我看来共享单车是有史以来最谦虚的商家没有之一。不割大家都知道共享单车前面的篮子上面都有写最大承重5KG，但是路上随处可见把娃娃放里面的，小媳妇儿坐里面的。看的本宝宝心肝乱颤啊。图片就不上传了，大家可在马路上看真人秀。

"
"
谈恋爱的火龙果
","


我家里是卖跌打酒的，老爸经常带我去赶大集，为了显示我家的跌打酒好使，老爸经常当着众人的面用棍子打我，打得半死，然后抹跌打酒……他们问我:“你爸打你，你不疼吗，怎么不跑？”我:“他打我是为了赚钱，我是家里的独生子，那些钱，早晚是我的！”

"
,"


今天外面38度 富婆家里的空调有点凉，看着散落一地的六味地黄丸 不知道我的身体还能撑多久，突然好怀念工地上的砖 虽然烫手 但是腿不抖！

"
"
吃了两碗又盛
","


网购，最后用指纹支付，儿子看见了，问:“你要是手坏了咋支付？”"
"
哈和嗨
","


我说一个我身上最巧的一个事情吧，初中捐款，我捐了10块钱，在右下角写下了我的名字。下午拿20块钱去小卖部买雪碧，找了18块钱，其中10块钱就是是我捐的那十块钱。老师，你是不是拿我的钱买雪碧喝了。

"
"
七丿号
","


刚才在小区拐弯处找个地方尿尿！后面刚好一部车挡着！感觉刚刚好，可特么刚刚尿。。。后面的车灯亮了，回头一看。里面的车主，惬意的冲着我笑。。。。。。。。

"
